Date,ACC,Opponent,Location,Time/Result
2/14/2025,,Old Dominion,"Atlanta, Ga.",W 3-2
2/15/2025,,Old Dominion,"Atlanta, Ga.",W 7-3
2/16/2025,,Old Dominion,"Atlanta, Ga.",W 7-4
2/18/2025,,at Georgia Southern,"Statesboro, Ga.",W 5-3
2/21/2025,,Marshall,"Atlanta, Ga.",W 12-1
2/22/2025,,Marshall,"Atlanta, Ga.",L 2-4
2/23/2025,,Marshall,"Atlanta, Ga.",W 11-6
2/24/2025,,Marshall,"Atlanta, Ga.",L 8-12
2/26/2025,,West Georgia,"Atlanta, Ga.",W 16-7
2/28/2025,,Western Michigan,"Atlanta, Ga.",W 16-4
3/1/2025,,Western Michigan,"Atlanta, Ga.",W 14-1
3/2/2025,,Western Michigan,"Atlanta, Ga.",W 13-3
3/4/2025,,Kennesaw State,"Atlanta, Ga.",W 11-4
3/7/2025,*,at Virginia Tech,"Blacksburg, Va.",W 4-3
3/8/2025,*,at Virginia Tech,"Blacksburg, Va.",L 5-8
3/9/2025,*,at Virginia Tech,"Blacksburg, Va.",W 8-6
3/11/2025,,Georgia State,"Atlanta, Ga.",W 4-2
3/14/2025,*,Pitt,"Atlanta, GA",W 10-1
3/15/2025,*,Pitt,"Atlanta, GA",W 11-1 (7 Inn)
3/16/2025,*,Pitt,"Atlanta, GA",L 10-12
3/18/2025,,Gardner-Webb,"Atlanta, Ga.",W 14-6
3/21/2025,*,at Notre Dame,"South Bend, Ind.",W 18-7
3/22/2025,*,at Notre Dame,"South Bend, Ind.",W 9-5
3/23/2025,*,at Notre Dame,"South Bend, Ind.",W 10-2
3/25/2025,,at Kennesaw State,"Kennesaw, Ga.",W 15-4
3/28/2025,*,Clemson,"Atlanta, Ga.",L 7-9
3/29/2025,*,Clemson,"Atlanta, Ga.",W 18-2
3/29/2025,*,Clemson,"Atlanta, Ga.",L 3-4
4/1/2025,,Mercer,"Atlanta, Ga.",W 21-5
4/4/2025,*,at Stanford,"Stanford, Calif.",W 8-6
4/5/2025,*,at Stanford,"Stanford, Calif.",W 10-3
4/6/2025,*,at Stanford,"Stanford, Calif.",W 18-2
4/8/2025,,Auburn,"Atlanta, GA",L 8-9
4/11/2025,*,California,"Atlanta, Ga.",W 8-5
4/12/2025,*,California,"Atlanta, Ga.",W 15-5 (8)
4/13/2025,*,California,"Atlanta, Ga.",W 4-3
4/15/2025,,vs. Georgia,"Atlanta, Ga. (Truist Park)",L 2-5
4/18/2025,*,at Miami,"Coral Gables, Fla.",L 2-4
4/19/2025,*,at Miami,"Coral Gables, Fla.",L 2-7
4/20/2025,*,at Miami,"Coral Gables, Fla.",L 2-10
4/22/2025,,at Auburn,"Auburn, Ala.",L 0-1
4/25/2025,*,Virginia,"Atlanta, Ga.",L 9-12
4/26/2025,*,Virginia,"Atlanta, Ga.",L 5-6
4/27/2025,*,Virginia,"Atlanta, Ga.",W 7-6
5/2/2025,,Western Carolina,"Atlanta, Ga.",W 13-5
5/3/2025,,Western Carolina,"Atlanta, Ga.",W 4-2
5/4/2025,,Western Carolina,"Atlanta, Ga.",W 13-0
5/6/2025,,Georgia Southern,"Atlanta, Ga.",W 8-5
5/7/2025,,at Mercer,"Macon, Ga.",W 4-3
5/9/2025,*,Louisville,"Atlanta, GA",L 2-16 (7 inn.)
5/10/2025,*,Louisville,"Atlanta, GA",Postponed
5/11/2025,*,Louisville,"Atlanta, Ga.",W 6-0 (7 inn.)
5/11/2025,*,Louisville,"Atlanta, GA",W 2-1
5/15/2025,*,at Duke,"Durham, N.C.",W 7-6
5/16/2025,*,at Duke,"Durham, N.C.",L 4-14 (7)
5/17/2025,*,at Duke,"Durham, N.C.",W 8-2
5/22/2025,,vs. California,"Durham, N.C. (ACC Championship)",W 10-3 Recap
5/24/2025,,vs. Clemson,"Durham, N.C. (ACC Championship)",L 4-9 Recap
5/30/2025,,vs. Western Kentucky,"Oxford, Miss.",W 9-2
5/31/2025,,vs. Murray State,"Oxford, Miss.",L 11-13
6/1/2025,,at Ole Miss,"Oxford, Miss",L 9-11