Rank,playerId,abbrevName,playerFullName,player,playerFirstName,pos,newestTeamName,newestTeamAbbrevName,newestTeamId,newestTeamLocation,newestTeamLevel,batsHand,throwsHand,wOBA,wRAA,G,P,PA,AB,BA,OBP,SLG,OPS,ISO,K%,BB%,K/BB,HR%,R/G,AB/HR,BABIP,OutRate,WOBA,SB%,wRC,wRC_per_PA,wRC_plus,wRC_plus_scaled
63,1196830209,J. Winnay,Jack Winnay,Winnay,Jack,1B,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,0.42,22.5,60,1074,282,226,0.296,0.416,0.571,0.987,0.274,17.0%,12.8%,1.33,5.3%,0.92,15.07,0.31,67.9%,0.42,100.0%,58.65599999999999,0.20799999999999996,19.316537482753642,137.9199340171372
64,1281390848,J. Zimbardo,Jared Zimbardo,Zimbardo,Jared,CF,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,0.36,6.1,42,779,192,162,0.296,0.4,0.395,0.795,0.099,25.0%,9.4%,2.67,1.6%,0.62,54.00,0.405,55.9%,0.36,76.9%,30.335999999999995,0.15799999999999997,14.514897411831654,71.33011317416587
65,1568958668,J. Nunnallee,James Nunnallee,Nunnallee,James,LF,University of Virginia,UVA,5415,Virginia,BBC,L,R,0.362,5.8,48,649,174,142,0.296,0.407,0.401,0.808,0.106,7.5%,10.3%,0.72,0.6%,0.79,142.00,0.315,67.7%,0.362,75.0%,27.781999999999996,0.15966666666666665,14.671147411831653,65.3248023537934
66,1153410304,R. Zuckerman,Ryan Zuckerman,Zuckerman,Ryan,3B,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,0.4,16.3,55,999,255,220,0.295,0.382,0.555,0.936,0.259,33.7%,9.4%,3.58,5.1%,0.87,16.92,0.423,53.7%,0.4,75.0%,48.79,0.19133333333333333,17.729970941243415,114.72165815425743
66,1140999168,L. Nixon,Luke Nixon,Nixon,Luke,2B,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,R,0.371,10.4,56,970,254,220,0.295,0.386,0.459,0.845,0.164,14.6%,8.3%,1.76,2.0%,0.96,44.00,0.335,62.6%,0.371,87.5%,42.46033333333333,0.16716666666666666,15.432302267474698,99.83848833331602
68,1336579072,A. Gracia,AJ Gracia,Gracia,AJ,CF,Duke University,DUKE,730336256,Duke,BBC,L,L,0.43,25.0,60,1187,285,215,0.293,0.449,0.558,1.007,0.265,12.6%,20.0%,0.63,5.3%,0.95,14.33,0.286,70.8%,0.43,88.9%,61.654999999999994,0.21633333333333332,20.109743903059723,144.97158912688545
69,1516396414,T. Bass,Tyson Bass,Bass,Tyson,RF,University of North Carolina,UNC,730181888,North Carolina,BBC,R,R,0.384,14.0,61,1087,273,233,0.292,0.393,0.485,0.878,0.193,26.4%,12.5%,2.12,4.0%,0.79,21.18,0.38,60.0%,0.384,85.7%,48.594,0.178,16.466019206703447,114.26079639983575
70,1162347776,A. Sosa,Alex Sosa,Sosa,Alex,C,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,R,0.402,14.9,52,942,228,189,0.291,0.401,0.534,0.935,0.243,21.9%,14.5%,1.52,4.4%,0.83,18.90,0.344,63.4%,0.402,-,44.004,0.19299999999999998,17.872901797796565,103.46816653863382
70,1506711324,C. Arroyo,Chris Arroyo,Arroyo,Chris,1B,University of Virginia,UVA,5415,Virginia,BBC,L,L,0.373,9.2,49,819,217,189,0.291,0.361,0.519,0.88,0.228,13.8%,10.6%,1.3,5.1%,0.63,17.18,0.289,70.4%,0.373,83.3%,36.63683333333333,0.1688333333333333,15.57744541490385,86.1454861553837
72,1102646272,P. Roche,Patrick Roche,Roche,Patrick,3B,Boston College,BC,227,Boston College,BBC,R,R,0.369,10.1,57,978,256,196,0.291,0.427,0.383,0.81,0.092,12.5%,12.1%,1.03,1.2%,0.81,65.33,0.323,65.9%,0.369,86.4%,42.367999999999995,0.16549999999999998,15.28312657849832,99.62138169050172
73,1310533888,K. Kepley,Kane Kepley,Kepley,Kane,CF,University of North Carolina,UNC,730181888,North Carolina,BBC,L,L,0.401,20.1,61,1238,309,234,0.291,0.451,0.444,0.896,0.154,7.1%,14.2%,0.5,1.0%,1.21,78.00,0.307,66.5%,0.401,93.8%,59.37950000000001,0.19216666666666668,17.84266844743036,139.62112523817854
74,1099661312,J. DeCriscio,Justin DeCriscio,DeCriscio,Justin,SS,North Carolina State University,NCST,730216448,North Carolina State,BBC,R,R,0.378,10.7,52,863,231,190,0.289,0.383,0.5,0.883,0.211,9.5%,10.0%,0.96,3.5%,0.87,23.75,0.281,68.9%,0.378,100.0%,39.962999999999994,0.173,15.969848710532952,93.96641985690898
75,1166182912,J. Hyde,Jake Hyde,Hyde,Jake,1B,Duke University,DUKE,730336256,Duke,BBC,L,R,0.401,17.5,58,1082,269,219,0.288,0.403,0.539,0.942,0.251,23.0%,15.6%,1.48,4.5%,0.83,18.25,0.342,65.1%,0.401,100.0%,51.69283333333334,0.19216666666666668,17.843390286676758,121.54719316851141
76,1342169021,C. Schmidt,Carl Schmidt,Schmidt,Carl,LF,University of California,CAL,730152448,California,BBC,R,R,0.354,4.9,45,686,180,161,0.286,0.361,0.447,0.808,0.161,29.4%,9.4%,3.12,2.8%,0.56,32.20,0.398,59.2%,0.354,66.7%,27.539999999999996,0.15299999999999997,14.060036300720544,64.75577916721151
77,1616187675,T. Davis,Tague Davis,Davis,Tague,TWP,University of Louisville,LOU,5467,Louisville,BBC,L,L,0.405,18.0,64,1001,264,219,0.283,0.39,0.571,0.961,0.288,23.1%,13.3%,1.74,6.8%,0.72,12.17,0.306,67.4%,0.405,100.0%,51.612,0.1955,18.15599589668014,121.35712688373714
78,1028338326,J. Davis,Jared Davis,Davis,Jared,2B,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,0.371,9.8,54,844,239,205,0.283,0.367,0.493,0.86,0.21,15.5%,8.8%,1.76,3.8%,0.8,22.78,0.302,65.4%,0.371,77.8%,39.95283333333333,0.16716666666666666,15.438232488540162,93.9425146128446
79,1220708608,K. Neighbors,Kamau Neighbors,Neighbors,Kamau,2B,University of Louisville,LOU,5467,Louisville,BBC,S,R,0.332,1.7,53,593,178,145,0.283,0.381,0.345,0.726,0.062,7.3%,9.6%,0.76,0.0%,0.42,-,0.311,67.4%,0.332,86.7%,23.970666666666666,0.13466666666666666,12.292870258273602,56.36307905437563
80,1182843904,D. Johnson,Davis Johnson,Johnson,Davis,C,University of Notre Dame,ND,225,Notre Dame,BBC,L,R,0.4,10.8,40,673,169,129,0.279,0.429,0.488,0.917,0.209,24.9%,16.0%,1.56,4.1%,0.95,18.43,0.349,63.9%,0.4,80.0%,32.33533333333333,0.19133333333333333,17.72834662287702,76.03121658066473
80,1732831224,B. Fraasman,Brayden Fraasman,Fraasman,Brayden,RF,North Carolina State University,NCST,730216448,North Carolina State,BBC,R,R,0.353,6.2,54,816,234,215,0.279,0.329,0.498,0.827,0.219,16.2%,6.8%,2.38,4.7%,0.76,19.55,0.292,68.5%,0.353,60.0%,35.60699999999999,0.15216666666666664,13.98738672807097,83.724002498435
82,1143009280,M. Winslow,Macon Winslow,Winslow,Macon,C,Duke University,DUKE,730336256,Duke,BBC,R,R,0.381,12.0,57,943,245,198,0.278,0.391,0.49,0.881,0.212,22.0%,12.7%,1.74,3.7%,0.75,22.00,0.329,65.7%,0.381,100.0%,42.997499999999995,0.1755,16.23577326217179,101.10154737625916
83,1105510913,D. Smaldino,Dominic Smaldino,Smaldino,Dominic,1B,University of California,CAL,730152448,California,BBC,R,R,0.37,9.5,55,957,235,206,0.277,0.357,0.505,0.862,0.228,20.0%,10.2%,1.96,4.7%,0.87,18.73,0.307,67.3%,0.37,-,39.088333333333324,0.1663333333333333,15.380367269987683,91.90978508887747
84,1093158912,H. Cooke,Henry Cooke,Cooke,Henry,C,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,0.374,8.0,52,683,187,156,0.276,0.385,0.468,0.853,0.192,19.8%,10.7%,1.85,3.7%,0.54,22.29,0.316,66.7%,0.374,100.0%,31.727666666666664,0.16966666666666666,15.615888944808482,74.6023883862587
85,1307928832,D. McCann,David McCann,McCann,David,C,Virginia Tech,VT,2293,Virginia Tech,BBC,L,R,0.402,12.8,52,762,194,160,0.275,0.385,0.569,0.954,0.294,19.6%,10.3%,1.9,5.7%,0.54,14.55,0.292,68.1%,0.402,75.0%,37.442,0.193,17.935752222828217,88.03870310743405
86,1774937559,T. Head,Ty Head,Head,Ty,CF,North Carolina State University,NCST,730216448,North Carolina State,BBC,L,L,0.377,11.2,56,1018,243,179,0.274,0.433,0.402,0.836,0.128,11.5%,19.8%,0.58,1.6%,0.82,44.75,0.294,68.6%,0.377,100.0%,41.8365,0.17216666666666666,15.946867576440708,98.37164688195514
87,1334935552,L. Gaffney,Luke Gaffney,Gaffney,Luke,1B,Clemson University,CLEM,730358784,Clemson,BBC,R,R,0.329,1.6,53,819,228,188,0.271,0.357,0.388,0.745,0.117,19.3%,10.1%,1.91,2.2%,0.49,37.60,0.311,65.5%,0.329,100.0%,30.133999999999997,0.13216666666666665,12.039568464463231,70.85514340685373
88,1198416640,J. Williams,Javar Williams,Williams,Javar,LF,Wake Forest University,WAKE,730373376,Wake Forest,BBC,L,L,0.352,5.6,54,835,217,170,0.271,0.405,0.365,0.769,0.094,20.7%,13.8%,1.5,1.8%,0.74,42.50,0.344,64.8%,0.352,83.3%,32.83933333333332,0.1513333333333333,13.918459239788644,77.21628966346336
89,1275112448,P. Moutzouridis,PJ Moutzouridis,Moutzouridis,PJ,SS,University of California,CAL,730152448,California,BBC,R,R,0.309,-2.1,55,829,238,215,0.27,0.329,0.367,0.697,0.098,13.4%,6.3%,2.13,1.3%,0.6,71.67,0.302,68.7%,0.309,83.3%,27.488999999999994,0.11549999999999998,10.45546113732185,64.6358610576426
90,1990938318,R. Sasaki,Rintaro Sasaki,Sasaki,Rintaro,1B,Stanford University,STAN,730251264,Stanford,BBC,L,R,0.354,6.4,52,869,236,201,0.269,0.377,0.413,0.79,0.144,19.9%,10.6%,1.88,3.0%,0.46,28.71,0.32,66.7%,0.354,50.0%,36.10799999999999,0.15299999999999997,14.049678485277983,84.9020215747884
91,1231533568,V. Cimini,Vince Cimini,Cimini,Vince,2B,Boston College,BC,227,Boston College,BBC,R,R,0.329,1.6,56,960,237,199,0.266,0.358,0.377,0.735,0.111,16.5%,10.5%,1.56,1.7%,0.5,49.75,0.308,67.9%,0.329,77.8%,31.323499999999996,0.13216666666666665,12.012919563730387,73.65205696238742
92,1123647744,A. Ciufo,Andrew Ciufo,Ciufo,Andrew,SS,Clemson University,CLEM,730358784,Clemson,BBC,R,R,0.354,6.7,60,897,244,194,0.263,0.378,0.418,0.795,0.155,25.0%,9.8%,2.54,2.5%,0.63,32.33,0.349,62.8%,0.354,77.8%,37.331999999999994,0.15299999999999997,14.083715717842582,87.78005620444227
93,1310593536,C. Grady,Clay Grady,Grady,Clay,SS,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,0.33,1.6,55,768,206,164,0.262,0.365,0.372,0.737,0.11,10.2%,12.1%,0.84,0.0%,0.58,-,0.293,68.0%,0.33,70.0%,27.398000000000003,0.133,12.114513107624534,64.42188952880397
94,1153715200,J. Jarrell,Jacob Jarrell,Jarrell,Jacob,C,Clemson University,CLEM,730358784,Clemson,BBC,R,R,0.388,13.2,59,980,245,199,0.261,0.385,0.513,0.898,0.251,27.3%,13.9%,1.97,6.1%,0.76,13.27,0.308,65.8%,0.388,-,44.42666666666666,0.18133333333333332,16.725569180539136,104.46199766891733
95,1085410304,J. Toomey,Jack Toomey,Toomey,Jack,RF,Boston College,BC,227,Boston College,BBC,R,R,0.34,4.0,57,1064,254,207,0.261,0.376,0.382,0.758,0.121,20.5%,12.6%,1.63,2.0%,0.81,41.40,0.32,63.4%,0.34,90.0%,35.89866666666667,0.14133333333333334,12.91261722810462,84.40980868061018
96,1088450304,D. Pedanou,David Pedanou,Pedanou,David,CF,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,0.33,1.4,47,665,180,150,0.26,0.374,0.347,0.721,0.087,32.2%,11.7%,2.76,1.1%,0.81,75.00,0.407,57.1%,0.33,100.0%,23.94,0.133,12.115591856276097,56.29097143293551
97,1084019968,D. Gonzalez Jr.,Dorian Gonzalez Jr.,Gonzalez Jr.,Dorian,2B,University of Miami,MIA,236,Miami,BBC,L,R,0.343,5.0,62,986,268,230,0.257,0.338,0.457,0.795,0.2,14.9%,9.7%,1.54,4.1%,0.65,20.91,0.261,72.3%,0.343,77.8%,38.547333333333334,0.14383333333333334,13.203485720289365,90.63771259325435
98,1297338112,T. Smith,Tanner Smith,Smith,Tanner,C,University of Miami,MIA,236,Miami,BBC,R,R,0.357,6.2,55,828,209,166,0.253,0.385,0.416,0.801,0.163,23.4%,15.3%,1.53,2.4%,0.47,33.20,0.325,64.9%,0.357,75.0%,32.4995,0.1555,14.304321255531812,76.41722748891759
99,1100577280,L. Stevenson,Luke Stevenson,Stevenson,Luke,C,University of North Carolina,UNC,730181888,North Carolina,BBC,L,R,0.408,20.4,61,1202,290,223,0.251,0.414,0.552,0.965,0.3,24.1%,20.3%,1.19,6.6%,1.0,11.74,0.27,68.6%,0.408,66.7%,57.41999999999999,0.19799999999999995,18.37229683711901,135.01368336170242
100,1258113024,S. McNulty,Sam McNulty,McNulty,Sam,SS,Boston College,BC,227,Boston College,BBC,R,R,0.297,-4.1,57,810,225,188,0.25,0.333,0.319,0.652,0.069,15.1%,9.8%,1.55,0.9%,0.56,94.00,0.294,69.3%,0.297,100.0%,23.737499999999994,0.10549999999999997,9.515591856276098,55.814825997882465
100,1304358144,K. Wolff,Kyle Wolff,Wolff,Kyle,1B,Boston College,BC,227,Boston College,BBC,R,L,0.349,5.8,56,892,248,204,0.25,0.372,0.402,0.774,0.152,13.7%,5.6%,2.43,3.2%,0.59,25.50,0.262,70.7%,0.349,50.0%,36.91066666666666,0.1488333333333333,13.676523755917675,86.7893601881344
102,1310879232,J. Paino,Josh Paino,Paino,Josh,3B,Clemson University,CLEM,730358784,Clemson,BBC,R,R,0.344,5.4,63,1132,282,237,0.249,0.354,0.426,0.78,0.177,30.9%,10.3%,3.0,3.5%,0.75,23.70,0.343,64.3%,0.344,83.3%,40.79599999999999,0.14466666666666664,13.252707695519597,95.92508231320119
103,1143044864,L. Hanson,Luke Hanson,Hanson,Luke,3B,University of Virginia,UVA,5415,Virginia,BBC,R,R,0.326,0.9,48,787,190,153,0.248,0.373,0.333,0.706,0.085,19.5%,14.7%,1.32,1.6%,0.88,51.00,0.307,66.7%,0.326,92.3%,24.636666666666663,0.12966666666666665,11.811498289024636,57.92906848521668
104,1318575104,S. Pisacreta,Sebastian Pisacreta,Pisacreta,Sebastian,C,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,0.36,6.5,50,805,204,166,0.247,0.371,0.446,0.817,0.199,22.1%,13.7%,1.61,3.9%,0.66,20.75,0.287,67.8%,0.36,-,32.23199999999999,0.15799999999999997,14.524088588302241,75.78824524755125
105,1099877632,J. Keenan,Jimmy Keenan,Keenan,Jimmy,C,Wake Forest University,WAKE,730373376,Wake Forest,BBC,R,R,0.392,8.7,43,646,150,114,0.246,0.405,0.509,0.914,0.263,31.3%,20.0%,1.57,4.7%,0.6,16.29,0.339,58.1%,0.392,100.0%,27.7,0.18466666666666667,17.13781407849832,65.13199284429045
106,1204031744,D. Jefferson,DM Jefferson,Jefferson,DM,CF,University of Notre Dame,ND,225,Notre Dame,BBC,L,R,0.366,5.5,44,614,149,106,0.245,0.452,0.302,0.754,0.057,20.8%,20.8%,1.0,0.7%,0.7,106.00,0.338,63.5%,0.366,85.0%,24.286999999999995,0.16299999999999998,15.029089246283556,57.106884845100424
107,1298969344,J. Berger,Jake Berger,Berger,Jake,2B,Duke University,DUKE,730336256,Duke,BBC,L,R,0.371,11.2,62,1117,271,206,0.243,0.404,0.432,0.836,0.189,14.0%,18.5%,0.76,3.0%,0.76,25.75,0.255,72.7%,0.371,100.0%,45.302166666666665,0.16716666666666666,15.470655406911604,106.52059188318364
108,1252632576,M. Handron,Max Handron,Handron,Max,3B,University of California,CAL,730152448,California,BBC,L,R,0.356,5.0,47,686,175,149,0.242,0.345,0.477,0.821,0.235,24.0%,12.0%,2.0,5.1%,0.51,16.56,0.273,70.7%,0.356,-,27.066666666666663,0.15466666666666665,14.194956935641178,63.642813705852994
109,1310619904,C. Priest,Collin Priest,Priest,Collin,1B,Clemson University,CLEM,730358784,Clemson,BBC,L,R,0.386,13.6,59,1048,258,196,0.24,0.407,0.48,0.887,0.24,23.6%,18.2%,1.3,4.7%,0.61,16.33,0.276,70.9%,0.386,-,46.354,0.17966666666666667,16.609131907955685,108.99380492073067
110,1233641139,F. Peralta,Fabio Peralta,Peralta,Fabio,CF,University of Miami,MIA,236,Miami,BBC,L,L,0.283,-5.9,57,716,197,172,0.238,0.316,0.302,0.618,0.064,20.3%,7.1%,2.86,1.0%,0.46,86.00,0.298,64.9%,0.283,100.0%,18.48516666666666,0.09383333333333331,8.3428902206303,43.46482826927254
111,1297587968,J. West,Jaxson West,West,Jaxson,C,Florida State University,FSU,101,Florida State,BBC,L,R,0.316,-0.5,46,697,188,148,0.236,0.37,0.311,0.68,0.074,8.5%,16.0%,0.53,1.1%,0.57,74.00,0.248,73.7%,0.316,100.0%,22.810666666666663,0.12133333333333331,11.07185663168981,53.63552989555335
112,1122462464,B. Gumpf,Brady Gumpf,Gumpf,Brady,RF,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,0.306,-1.7,46,572,146,127,0.236,0.31,0.386,0.696,0.15,24.0%,8.2%,2.92,3.4%,0.54,25.40,0.278,70.0%,0.306,100.0%,16.497999999999998,0.11299999999999999,10.173430516854484,38.79233277780158
113,1211099136,C. Saum,Charlie Saum,Saum,Charlie,C,Stanford University,STAN,730251264,Stanford,BBC,R,R,0.321,0.1,43,649,173,144,0.236,0.345,0.368,0.713,0.132,26.0%,11.6%,2.25,2.3%,0.56,36.00,0.309,66.0%,0.321,-,21.7115,0.1255,11.395617546706413,51.051020311870474
114,1307084288,A. Magpoc,Adam Magpoc,Magpoc,Adam,LF,Boston College,BC,227,Boston College,BBC,S,R,0.318,-0.3,55,916,227,185,0.232,0.353,0.351,0.704,0.119,23.8%,14.5%,1.64,1.3%,0.62,61.67,0.31,67.4%,0.318,75.8%,27.920999999999996,0.12299999999999998,11.20565548818995,65.65163798575571
115,1255842560,A. Birge,Alex Birge,Birge,Alex,C,University of California,CAL,730152448,California,BBC,L,R,0.422,14.5,44,788,178,134,0.231,0.415,0.582,0.997,0.351,28.7%,22.5%,1.27,6.7%,0.86,11.17,0.268,70.4%,0.422,-,37.32066666666666,0.20966666666666664,19.483881494228655,87.75340773564918
115,1873174999,M. Torres,Michael Torres,Torres,Michael,CF,University of Miami,MIA,236,Miami,BBC,L,L,0.295,-3.3,51,626,166,134,0.231,0.35,0.276,0.626,0.045,19.3%,13.9%,1.39,0.6%,0.55,134.00,0.294,67.6%,0.295,100.0%,17.236333333333327,0.10383333333333329,9.349862271269405,40.52840214182207
117,1123942656,E. Moreno,Estevan Moreno,Moreno,Estevan,SS,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,0.353,6.3,53,941,236,196,0.23,0.339,0.485,0.824,0.255,30.5%,7.6%,4.0,4.2%,0.83,19.60,0.294,66.4%,0.353,100.0%,35.91133333333333,0.15216666666666667,14.007305603922049,84.4395922633789
118,1184450816,D. Lewis,David Lewis,Lewis,David,3B,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,0.342,2.6,47,636,149,123,0.228,0.345,0.439,0.784,0.211,30.2%,15.4%,1.96,4.0%,0.49,20.50,0.297,67.6%,0.342,100.0%,21.307000000000002,0.14300000000000002,13.08278052145134,50.09990510950531
119,1207760896,M. Heavner,Matt Heavner,Heavner,Matt,3B,North Carolina State University,NCST,730216448,North Carolina State,BBC,R,R,0.279,-5.0,49,522,153,120,0.225,0.307,0.308,0.615,0.083,9.8%,8.5%,1.15,2.0%,0.39,40.00,0.231,75.0%,0.279,-,13.846499999999999,0.0905,8.069840222289171,32.55776674795912
120,1310893312,H. Didawick,Harrison Didawick,Didawick,Harrison,LF,University of Virginia,UVA,5415,Virginia,BBC,L,L,0.316,-0.5,44,648,167,138,0.225,0.327,0.384,0.711,0.159,18.6%,11.4%,1.63,3.6%,0.66,23.00,0.243,72.8%,0.316,50.0%,20.262666666666664,0.12133333333333332,11.03841288089353,47.64432708807133
121,1142746368,S. Gwynn,Seth Gwynn,Gwynn,Seth,CF,University of California,CAL,730152448,California,BBC,R,R,0.301,-2.5,42,574,165,134,0.216,0.315,0.366,0.68,0.149,15.2%,7.9%,1.92,1.8%,0.52,44.67,0.232,75.9%,0.301,100.0%,17.957499999999996,0.10883333333333331,9.822662563346807,42.224106913405976
122,1084685312,J. Melendez,Jayden Melendez,Melendez,Jayden,C,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,0.328,1.5,54,963,237,189,0.212,0.36,0.354,0.715,0.143,24.1%,13.1%,1.84,3.0%,0.67,27.00,0.26,69.3%,0.328,0.0%,31.125999999999998,0.13133333333333333,11.970725470903384,73.18766820474312
123,1174043694,H. Lutterman,Hudson Lutterman,Lutterman,Hudson,3B,Virginia Tech,VT,2293,Virginia Tech,BBC,R,R,0.3,-2.1,42,534,135,120,0.208,0.291,0.392,0.683,0.183,17.8%,8.1%,2.18,3.0%,0.5,30.00,0.228,75.0%,0.3,100.0%,14.579999999999997,0.10799999999999997,9.782258522942765,34.28247132381785
124,1310479104,J. Kendro,Jake Kendro,Kendro,Jake,SS,University of Pittsburgh,PITT,5424,Pittsburgh,BBC,R,R,0.28,-4.6,48,585,144,118,0.195,0.308,0.305,0.613,0.11,25.7%,9.7%,2.64,1.4%,0.4,59.00,0.253,72.3%,0.28,100.0%,13.152000000000001,0.09133333333333334,8.143369634053876,30.92476425588838
125,1251439360,N. DeMarco,Nick DeMarco,DeMarco,Nick,3B,University of Notre Dame,ND,225,Notre Dame,BBC,R,R,0.289,-5.4,53,892,214,163,0.166,0.328,0.276,0.605,0.11,25.2%,14.5%,1.74,2.3%,0.38,32.60,0.21,77.1%,0.289,71.4%,21.150333333333325,0.0988333333333333,8.814449592517013,49.73152921736549
